Hid;ln
5153800;1849
5154000;3084
5154100;2626
5154700;8187
5155300;5416
5155500;1455
5155800;4545
5156500;8393
5156600;437
5156700;6779
5156800;5486
5156900;8319
5157000;8891
5157100;2694
5157200;2510
5157300;4477
5157400;6105
5157900;4904
5158300;4568
5158500;9008
5158800;8740
5158900;5624
5159000;9175
5159600;1247
5159800;6468
5159900;3745
5160100;289
5160500;555
5160600;504
5160700;4723
5160900;4817
5160901;9021
5161100;2456
5161500;392
5161900;5987
5162000;130
5162300;844
5162500;208
5162600;8103
5162700;7576
5163300;1806
5163400;5660
5163600;8010
5163900;6972
5164800;8992
5164900;3415
5165100;7897
5165200;2978
5165400;55
5165700;7090
5165800;6256
5166000;9036
5167000;4530
5167400;3192
5167600;2597
5167700;831
5168000;2658
5168100;6638
5168400;383
5168500;3684
5168800;8271
5168900;7472
5169300;4089
5169500;6080
5169700;2728
5169800;234
5169900;8645
5170500;5763
5170600;1939
5170700;6361
5170800;6555
5171000;2219
5171300;3304
5171700;5057
5171800;8934
5172000;7692
5172100;1004
5172500;1638
5172600;1035
5172900;7684
5173200;8220
5173300;2523
5173600;5222
5173800;6005
5173900;2880
5174000;2730
5174100;238
5174200;7369
5174500;4149
5174600;5467
5174700;7070
5175400;3314
5175600;3991
5175700;5898
5176300;2405
5176500;5223
5176700;8984
5177100;8335
5177300;1647
5177800;3199
5178000;2537
5178100;3862
5178400;5603
5178500;3540
5178600;2157
5178800;1580
5178900;4905
5179000;7216
5179100;689
5179200;5180
5179400;8000
5179700;575
5179900;2249
5180400;6394
5180600;1692
5181300;4587
5181400;7409
5181500;5357
5181600;9028
5181800;8708
5182000;612
5182100;5723
5182200;946
5182300;7218
5182400;2925
5182600;4036
5183000;5747
5183200;7164
5183300;1855
5183400;4709
5183600;8862
5184200;5226
5184400;706
5184500;3858
5184700;9126
5184900;7518
5185100;4707
5185200;3107
5185300;7082
5185600;3691
5186000;3290
5186200;7919
5186300;7289
5186400;6473
5186500;4383
5186900;7048
5187200;2308
5187500;3850
5187700;1765
5188000;9251
5188600;4346
5188700;7471
5189000;9046
5189300;432
5189500;4990
5189700;2336
5189800;3
5190000;8009
5190200;7400
5190300;6376
5190800;450
5191000;5507
5191300;3299
5191700;898
5192200;4127
5192600;4037
5192700;5248
5193300;4681
5193301;6053
5193400;7598
5194100;2904
5194200;1962
5194300;3165
5195200;1103
5195300;8702
5195600;6106
5195800;307
5195900;1214
5196100;9165
5196300;3420
5197300;4558
5197500;100
5197700;9113
5198500;172
5198600;8958
5199000;5423
5199100;7656
5199500;7182
5200000;7306
5200100;316
5200300;2226
5200301;7008
5200600;5694
5200700;7543
5200701;4099
5201100;3358
5201300;7136
5201400;2584
5201500;6855
5201700;8587
5201800;8706
5202100;325
5202200;7452
5202300;2089
5202500;5906
5202600;5885
5203300;7782
5203500;3101
5203800;3330
5203900;7625
5204000;6119
5204100;3507
5204300;8912
5204700;3998
5204900;5243
5205100;7377
5205200;8124
5205300;3002
5205800;662
5206000;6736
5206300;1166
5206400;862
5206600;3162
5206900;8254
5207200;7853
5207600;4469
5207700;995
5207900;717
5208000;135
5208100;2341
5208300;5788
5208600;151
5209000;6239
5209100;6746
5209200;9146
5209300;6101
5209600;3690
5209900;4228
5210100;20
5210300;6688
5210400;7167
5210900;6266
5211000;8647
5211100;8894
5211400;1482
5211500;4633
5211600;2823
5211601;2078
5211800;6529
5211900;5937
5212000;1002
5212100;9085
5212300;256
5213400;206
5213900;3922
5214000;7382
5214100;3356
5214300;9061
5214600;3190
5214900;1485
5215500;4872
5215700;4572
5216100;476
5216300;7228
5216400;3779
5216700;4660
5216800;2813
5216900;2841
5217300;2887
5217800;8675
5218200;8490
5218800;3186
5218900;1852
5219100;4629
5219600;1985
5219800;6
5219900;5112
5220400;9164
5220600;3050
5220900;2198
5221400;1640
5221500;5278
5221900;7191
5222000;6881
5222200;7708
5222300;5495
5222400;2829
5222500;3488
5222900;5798
5223000;4165
5223100;5340
5223200;4602
5223400;6515
5223900;2794
5224400;8113
5224500;1045
5224600;4889
5224800;5586
5225200;1270
5225500;9103
5225600;322
5225700;5144
5225900;7430
5226100;718
5226200;1706
5226400;8601
5226800;7407
5227000;4767
5227100;4671
5227400;8533
5227600;7950
5228500;2280
5228600;8480
5229000;2085
5229100;5316
5229600;9191
5229800;3351
5230000;6627
5230001;1652
5230100;5375
5230200;9074
5230300;6908
5230400;1797
5230700;6763
5230800;3775
5230900;8898
5231000;5447
5231100;5301
5231300;3921
5231600;4869
5231700;4068
5231900;7028
5232000;4593
5232200;2457
5232300;9120
5232400;6959
5232800;3017
5233100;1266
5233300;2878
5233400;1235
5233500;4239
5233800;669
5233900;8461
5234000;3482
5234400;7882
5234600;4470
5234700;3217
5234900;1934
5235100;1484
5235200;7828
5235300;4163
5235600;5593
5236100;4896
5236500;4546
5236700;8066
5237000;8277
5237100;1981
5237300;9111
5237500;3533
5237700;820
5237900;2657
5238400;8130
5238500;926
5238800;4950
5239000;7502
5239100;5862
5239500;6181
5240200;1544
5240900;3860
5241300;2340
5241500;1465
5241900;3370
5242200;993
5242300;4903
5242400;6286
5242500;2493
5242600;6958
5243000;3754
5243100;8131
5243200;7699
5243300;8637
5243600;6165
5243700;5538
5243800;7734
5244400;7487
5245100;6801
5245200;2919
5245400;3693
5245600;1086
5245900;3366
5246100;3763
5246600;6499
5247000;5973
5247100;3399
5248100;5596
5248700;762
5249800;415
5250000;8867
5250400;7162
5250500;111
5250600;7906
5250700;3291
5251300;6974
5251500;2147
5251900;5588
5252200;3931
5252300;5827
5252400;7608
5252500;7614
5252600;290
5253000;6916
5253200;2505
5254200;6195
5254300;3739
5254301;9224
5254400;3121
5254600;2253
5254700;7046
5254800;1319
5255100;6659
5255300;8170
5255800;3114
5256600;1546
5257100;1793
5257200;8294
5257800;2965
5257900;8193
5258100;5904
5258300;6607
5258400;2948
5258401;3316
5258500;1486
5258800;5698
5259500;1209
5259700;4895
5259900;2674
5260000;1865
5260100;7669
5260200;2479
5260300;634
5260400;4301
5260700;2936
5261100;2519
5261200;3157
5261300;6029
5261600;9047
5261700;4238
5262000;5745
5262100;6389
5262200;1375
5262300;5972
5262400;6507
5262401;3971
5262500;3824
5262600;198
5263000;8089
5263400;7700
5263800;1434
5263900;5096
5264000;8420
5264300;5550
5264400;3387
5264500;6148
5265300;6299
5265400;3890
5265900;7711
5266100;2427
5266900;1085
5267000;3940
5267200;7624
5267300;3838
5267400;8005
5267500;8821
5267600;7207
5267700;5730
5267800;7278
5268000;6305
5268200;4458
5269300;2631
5269400;591
5269600;171
5269800;3178
5270000;5323
5270200;2241
5270300;2026
5270500;2612
5270600;66
5270700;1599
5270900;7176
5271000;4956
5271800;1784
5271900;7443
5272000;1694
5272100;3842
5272200;5969
5272500;8589
5272800;637
5272900;8387
5273200;4232
5273500;6691
5273900;3565
5274000;8264
5274100;2891
5274300;6041
5274500;1201
5274600;8148
5274700;1268
5275200;8446
5275300;447
5275500;9022
5275900;2393
5276100;2437
5278300;8345
5278700;8150
5278900;6500
5279400;7007
5279700;3517
5280100;8011
5280200;6727
5280300;7483
5280700;8889
5280900;6675
5281400;7928
5281800;5073
5282900;277
5282901;1644
5283200;7024
5283300;215
5283301;4283
5283500;1645
5283600;8015
5283800;7459
5283900;5449
5284100;8688
5284300;8488
5284400;8578
5284900;8838
5285000;3200
5285200;8861
5286400;3269
5286600;7330
5286700;4753
5286900;6613
5287000;7539
5287100;4065
5287400;1809
5287800;5107
5288000;6352
5288300;7273
5288400;6744
5288500;2465
5289000;1153
5289200;4148
5289300;7936
5289400;3580
5289500;8080
5289700;4819
5290100;5779
5290300;497
5290500;7187
5290600;6278
5290700;6650
5290800;4968
5290900;1823
5291200;3847
5291300;4074
5291400;1363
5291500;7111
5291600;3208
5291700;2896
5291800;5849
5291900;6066
5292300;5358
5292400;5303
5292900;1197
5293100;1426
5293200;4565
5293300;5288
5293400;1250
5293800;3177
5294300;8673
5294400;3811
5294600;660
5294700;4711
5294800;2360
5294900;6926
5295100;2121
5295600;5773
5296200;7643
5296300;1013
5296900;139
5297300;2955
5297301;8883
5297400;3945
5297500;9055
5297700;7138
5298000;5630
5298100;7571
5298300;3360
5298400;6340
5298700;4174
5298800;6401
5299200;7976
5299900;5212
5300700;6762
5301000;7907
5301300;5709
5301600;7719
5301900;1497
5302100;1355
5302400;4223
5302600;2554
5302800;1528
5302900;5431
5303300;5994
5303500;7185
5303700;5991
5304300;1658
5304600;5946
5304700;123
5304900;2298
5305300;1257
5305400;7003
5305500;7143
5306000;6153
5306100;9082
5306200;6163
5306300;923
5307000;8109
5307100;185
5421300;6861
5421500;7892
5421700;3171
5422100;219
5422300;3636
5422500;2299
5422600;1999
5422800;6922
5423100;3547
5423600;8035
5424300;5753
5424400;1065
5424600;7365
5424700;462
5425100;4260
5425500;4278
5425700;4435
5426200;7485
5426400;7352
5426500;5657
5426600;7842
5426800;480
5427400;4448
5427800;3880
5428100;3516
5428400;3888
5428500;5957
5428600;6055
5428900;997
5429400;4653
5429401;8902
5429900;581
5430000;1261
5430100;2752
5430200;6548
5430300;7086
5430400;5892
5430700;4069
5430800;507
5430900;9255
5431000;7572
5431100;7204
5431400;4909
5431600;3960
5431700;1461
5431900;6971
5432000;6013
5432200;1505
5432400;1530
5432500;4957
5432600;276
5432900;1881
5433000;1824
5433600;3135
5433900;3563
5434000;9223
5434200;1811
5434400;6874
5434500;3501
5434600;3453
5434900;4372
5435300;4794
5435400;6130
5435500;750
5435600;3240
5435800;8833
5436100;5459
5436200;6509
5436300;1165
5436400;3924
5436500;4879
5436700;3368
5436900;3841
5437000;641
5437100;803
5437200;3204
5437400;690
5437500;1836
5437700;2859
5437900;8198
5438000;1472
5438200;1325
5438500;7810
5438700;3429
5438900;8355
5439200;8479
5439300;4917
5439500;7631
5440000;1597
5440600;4158
5440700;4161
5440900;895
5441000;6309
5441200;670
5441500;9149
5441600;7476
5441800;3020
5441900;2641
5442000;7977
5442200;1352
5442500;1173
5442600;8667
5442900;6333
5443000;809
5443100;7107
5443200;313
5443400;1961
5443500;4362
5443900;1532
5444400;5720
5444500;4610
5444700;115
5444800;8948
5445100;5175
5445200;5203
5445300;5373
5445600;5741
5445800;6740
5445900;2101
5446100;4154
5446400;6436
5446600;4870
5446700;1684
5447000;4810
5447100;367
5447200;2995
5447300;211
5447600;9100
5447700;3286
5447900;3724
5448000;8724
5448300;4016
5448800;2861
5448900;1788
5449300;385
5449700;1101
5450000;8547
5450500;6326
5450600;8468
5451100;4064
5452400;3197
5452700;499
5453000;1142
5453300;7659
5453600;3105
5453700;8642
5453900;6918
5454100;8735
5454200;7323
5454400;340
5454600;7403
5454800;783
5455000;2735
5455100;8076
5455200;8719
5455400;5157
5455500;8931
5455600;3800
5456000;2104
5456300;8289
5456400;3807
5456600;7610
5457200;7661
5457700;1577
5457900;8485
5458000;566
5458200;4329
5458300;8526
5458500;1200
5458700;8785
5458800;6674
5459000;2188
5459200;7811
5459300;551
5459500;734
5460000;3196
5460500;7311
5460600;7865
5460800;5771
5460900;6742
5461000;8407
5461200;3495
5461300;5070
5461400;2681
5461600;6772
5462300;1460
5462800;345
5463000;8406
5463100;318
5463500;1602
5463600;6397
5463700;7911
5463800;4742
5464400;735
5464600;5033
5464700;2642
5464900;8391
5465200;9250
5465400;3075
5465600;5184
5465900;1138
5466000;5648
5466100;3386
5466400;2800
5466700;8956
5466800;9053
5467200;5318
5467400;3744
5467800;835
5468800;2081
5468900;7581
5469000;3600
5469300;8006
5469500;7079
5469700;5511
5469900;7063
5470100;4919
5470800;3172
5470900;6081
5471000;4857
5471500;183
5471900;8832
5472600;4925
5472900;8110
5473100;1552
5474000;1634
5474300;9189
5474400;2236
5474600;5346
5474800;3137
5475100;6576
5475200;3557
5475500;7922
5475600;237
5475800;4361
5476100;2158
5476300;6505
5476500;5385
5476600;7927
5476800;2598
5477000;6973
5477100;752
5477300;5878
5477800;1720
5478100;5094
5479200;9238
5479400;8765
5479500;6761
5479700;5086
5479800;112
5480000;2901
5480100;1034
5480400;8357
5480700;6681
5481200;6387
5481300;2951
5481900;443
5482100;2072
5482200;341
5482300;5613
5482400;2714
5482500;928
5482600;9001
5483000;3039
5483100;8441
5483200;7027
5483400;772
5483600;155
5483900;5785
5484100;3836
5484200;8859
5484300;1970
5485100;1389
5485200;4924
5485400;3979
5485500;2263
5485600;4267
5485900;7243
5486000;4409
5486200;8869
5486500;4652
5487200;3564
5487300;726
5487500;2329
5487800;7607
5488000;3456
5488100;1944
5488200;8037
5488300;7118
5488600;8341
5488800;6260
5489100;7764
5489300;8047
5489400;2342
5489500;2610
5489700;8519
5489800;1783
5489900;7423
5490100;5479
5490300;896
5490600;3313
5491000;249
5491001;730
5491100;8940
5491200;4358
5491400;5259
5491500;578
5491600;5281
5491700;4699
5491900;6040
5492200;9249
5492400;7370
5493500;109
5494000;388
5494100;473
5494300;6135
5494400;6303
5494600;6009
5494800;8028
5495000;6822
5495200;2057
5495500;1726
5495700;6629
5495800;6095
5496300;247
5496600;1168
5496700;4413
5496800;7551
5497400;419
5497800;50
5498000;2920
5498300;7653
5498400;7705
5498600;7718
5498900;3706
5499200;2164
5499600;4481
5499800;3434
5500000;7424
5500100;7290
5500200;240
5500700;1664
5500800;8994
5500900;5161
5501100;2754
5501500;7885
5501600;4599
5501700;9207
5501800;243
5501900;6882
5502600;7934
5502700;9141
5502900;5060
5503100;6144
5503200;6834
5503300;148
5503500;769
5503600;6768
5503700;9026
5503800;7545
5504000;6187
5504100;7766
5504200;3447
5504400;7393
5504600;8402
5504900;2379
5505000;6475
5505200;5147
5505300;6614
5505700;8469
5505800;2833
5506000;2383
5506300;6699
5506600;5137
5506700;4880
5507000;2530
5507700;6271
5508200;5635
5508400;8836
5508500;2451
5508600;882
5509100;2791
5509500;5667
5509600;916
5509700;8205
5509900;2204
5510100;4152
5510300;9072
5510600;3315
5511000;1863
5511300;5140
5511400;9116
5511600;3773
5512100;1215
5512200;6445
5512400;7780
5513400;5964
5513500;3023
5513800;1155
5513900;6561
5514100;1669
5514200;6202
5514300;6071
5514700;7503
5515300;3230
5515500;2000
5515800;2276
5515900;4986
5516000;8663
5517000;1414
5517200;3929
5517400;6173
5517500;4288
5517700;7410
5517800;3345
5518000;5440
5518100;5209
5518300;5547
5518600;6482
5518700;5526
5518900;8746
5519000;890
5519100;4860
5519500;7786
5520300;5580
5520400;372
5520700;2905
5520800;4221
5521000;5481
5521200;8577
5521500;3390
5521900;1715
5522300;5083
5523600;2941
5523800;7931
5523900;5814
5524000;790
5524300;8282
5524400;8974
5524500;3445
5525000;2708
5525200;1680
5525500;6044
5525900;7331
5526000;5719
5526400;1928
5526600;4928
5527100;7582
5527500;7490
5527700;2717
5528000;2106
5528100;1661
5528200;440
5528300;1534
5528500;3410
5528900;9017
5529200;7721
5529700;2234
5529800;1770
5529900;2202
5530300;4644
5530400;2441
5530900;2590
5531100;7468
5531300;5646
5531900;5034
5532300;7868
5532900;5908
5533000;1791
5533400;7113
5533700;7676
5534100;5418
5534200;2358
5534900;9054
5535100;2634
5535200;6245
5535300;714
5535900;7858
5536200;8163
5536400;4940
5536500;4348
5536600;8339
5536700;2600
5537100;1252
5537200;661
5537300;2942
5537700;3281
5538200;242
5538600;3093
5538800;5068
5539000;3063
5539100;2926
5539600;3000
5539700;5776
5539900;4051
5540100;2564
5540200;8655
5540300;6866
5540500;688
5540700;3059
5540800;1802
5540900;6553
5541300;1966
5541400;5179
5541600;5597
5542000;9129
5542100;9112
5542200;4318
5542300;7279
5542400;8829
5542600;5310
5542900;3752
5543100;7792
5543200;5420
5543300;2643
5543400;5029
5543700;5551
5543800;8308
5543900;7233
5544000;9029
5544100;4370
5544300;389
5544600;6375
5545000;6088
5545300;9125
5545800;1362
5546100;2086
5546200;580
5546600;5237
5546700;7812
5546900;8841
5547300;140
5547400;5811
5547900;4997
5548000;166
5548100;8783
5548500;7954
5548600;3704
5548700;1107
5548900;8166
5549100;7513
5549300;5201
5549600;1583
5549900;753
5550400;6419
5550500;5095
5551100;282
5551500;2082
5551700;6592
5551800;6900
5552300;4505
5552700;5270
5552800;5910
5552900;1525
5553200;3710
5553400;5392
5553600;3380
5553700;2107
5553800;1350
5554200;6366
5554400;2536
5555000;1102
5555100;6893
5555200;1828
5555800;2616
5556200;2073
5556400;7553
5556500;8664
5556800;8135
5556900;7939
5557100;8888
5557300;2289
5557700;4937
5557800;4672
5558000;377
5558200;2532
5558300;644
5558400;722
5558900;7049
5559100;3598
5559300;2282
5559500;5783
5559700;4112
5559900;2334
5560500;4147
5560600;1866
5560900;5573
5561000;3151
5561400;1232
5561700;8546
5561800;3687
5562000;4534
5562500;3490
5562600;8169
5562700;6126
5563000;4109
5563800;2070
5563900;6591
5564700;9117
5565400;1150
5565700;4391
5565800;4978
5565900;7942
5566100;4597
5567200;3617
5567300;5672
5567600;7838
5567700;5236
5567900;349
5568000;4497
5568300;309
5568500;7258
5568700;1774
5568900;334
5569000;75
5569700;520
5569900;4254
5570300;7415
5570400;1032
5570600;8513
5571100;93
5571600;2875
5571800;512
5572200;7586
5572300;6082
5572400;1996
5572700;2375
5572800;1909
5573200;1223
5573300;4523
5573400;6399
5573500;2962
5573700;324
5573900;4431
5574300;8733
5574600;7958
5575000;5298
5575100;4270
5575101;1804
5575400;5517
5575401;5571
5576000;8893
5576700;8995
5576800;1691
5576900;8132
5577200;4573
5577500;7687
5577600;366
5577700;6610
5578200;8525
5578500;9264
5578600;4003
5578700;9155
5578900;332
5579100;7511
5579300;2960
5579400;8807
5579600;4966
5579700;7774
5579800;7686
5580000;9102
5580400;5193
5580700;3057
5580800;6325
5581100;7259
5581800;5574
5581900;7307
5582100;4108
5582300;1756
5582500;8141
5582600;4689
5583200;131
5583900;1846
5584400;7009
5584700;3326
5584800;2693
5585000;4136
5585200;4745
5585400;6037
5585500;5337
5585600;668
5585700;1827
5586100;3033
5587200;5705
5587400;3759
5588000;1452
5588400;88
5588500;9142
5588800;94
5589200;9118
5589300;1094
5589400;1187
5589500;1320
5589600;511
5589700;1987
5590000;442
5590100;7837
5590200;2406
5590600;5020
5591000;3071
5591300;888
5591500;7933
5591800;1309
5592000;1357
5592200;7956
5592300;239
5592400;3339
5592500;4704
5592700;266
5593300;1673
5593400;3203
5593700;770
5593800;2211
5594000;431
5594300;1818
5594600;6143
5594700;5324
5595100;5276
5595101;7126
5595200;428
5595800;6085
5595801;1971
5595900;3619
5596000;5306
5596100;897
5596300;8333
5596400;3243
5596600;8726
5597200;269
5597300;756
5597400;14
5597500;1801
5598300;1404
5598400;1688
5598500;7342
5599000;8403
5599800;3341
5600300;3577
5600900;3798
5601100;8915
5601300;8558
5601400;200
5602100;1994
5602300;572
5602500;3005
5602700;5759
5603100;3261
5603200;2264
5603400;4637
5603500;355
5603600;7599
5604000;4490
5604400;8433
5604500;648
5604700;8679
5605100;7151
5605200;2710
5605300;410
5605400;7619
5605500;6587
5605600;6298
5605900;8140
5606500;6601
5606700;2707
5606800;4564
5607000;8381
5607200;4360
5607300;5780
5607600;3475
5607900;7580
5608500;3958
5608900;3865
5609100;3796
5609200;9242
5609400;2613
5609500;2745
5609600;8190
5610000;7473
5610100;2786
5610200;5874
5610500;9147
5610700;8804
5610800;5784
5611200;3530
5611300;2840
5611400;4471
5612200;2587
5612500;7603
5612600;49
5612800;7246
5612900;1457
5613000;8998
5613300;2889
5613400;5930
5613500;233
5613600;3374
5613700;4467
5613800;7536
5614200;5398
5614300;8324
5614700;1169
5614900;8950
5615000;1542
5615300;1182
5615500;3770
5615600;3634
5615700;8682
5616100;9196
5617300;236
5617400;4474
5617800;3949
5617900;9219
5618000;3115
5618100;3746
5618400;4632
5618600;3771
5618700;8456
5618900;2327
5619100;703
5619200;8134
5620000;1137
5620001;4303
5620500;7778
5620800;2964
5621200;8835
5621500;1274
5621600;2743
5621900;5267
5622100;4679
5622400;1146
5622600;549
5622800;542
5623100;285
5623600;5978
5624500;2395
5624700;1188
5624900;1140
5625300;3621
5625400;1518
5625800;6753
5626000;9002
5626100;6518
5626400;7566
5626500;1693
5626600;950
5626900;4181
5627200;8671
5627300;743
5627500;3871
5627800;4449
5628200;8643
5628300;1021
5628400;1733
5628500;7069
5628600;472
5628900;6608
5629200;8941
5629300;7200
5629500;5367
5629600;2356
5629700;3633
5630100;8115
5630200;4816
5630300;8138
5630400;5557
5630900;7564
5631100;5013
5631200;7648
5631800;1018
5632100;4480
5632400;6677
5632600;6552
5632800;5984
5633100;1629
5633600;3435
5633800;2305
5634300;7092
5634600;362
5634700;7465
5635000;4769
5635600;2999
5635700;2566
5636100;633
5636700;9037
5636800;7578
5637000;6842
5637100;149
5637200;6732
5637300;4554
5637400;5960
5637700;1955
5638100;8892
5638200;2092
5638400;1439
5638700;4242
5639200;1368
5639300;8914
5640000;1616
5640500;4559
5640700;2617
5640900;446
5641000;5933
5641200;5305
5641400;2135
5641500;1443
5641600;6319
5641900;2888
5642100;225
5642200;5636
5642400;5815
5642500;9241
5642600;561
5642700;6747
5643000;8600
5644100;798
5644300;4208
5644800;8814
5644900;1131
5645100;4839
5645200;2333
5645600;6925
5645700;3408
5646000;693
5646100;8121
5646300;759
5646700;4466
5647200;8302
5647400;984
5647600;5703
5647700;5782
5648100;6907
5648500;4780
5648700;9228
5648800;5789
5649000;8261
5649100;3526
5649400;8609
5649500;8629
5649900;5054
5650100;4636
5650200;7616
5650800;6464
5650801;2403
5650900;8768
5651000;5591
5651100;7077
5651600;3984
5651800;2760
5651900;6984
5652100;5482
5653000;3757
5653200;7150
5653300;4235
5653500;6219
5653900;7450
5654100;1345
5654200;456
5654700;2943
5655000;1234
5655100;3458
5655500;3920
5656300;8710
5656600;8532
5656700;1429
5656900;1144
5657000;533
5657400;7547
5657500;6951
5657600;833
5657900;9063
5658300;3867
5658400;4364
5658700;3480
5658800;110
5659400;7327
5659500;1444
5660100;2065
5660400;2508
5660600;5585
5661200;8622
5661300;3431
5661400;2518
5661500;4164
5661700;5955
5661800;2753
5661900;2853
5662100;6450
5662300;3859
5662600;8409
5662900;1012
5663500;3663
5663700;7870
5663800;3116
5664000;1462
5664100;610
5664200;4088
5665100;1210
5665500;8316
5665600;1073
5666000;964
5666200;8596
5666300;3993
5666400;781
5666600;4227
5666800;1008
5667000;8901
5667200;4106
5667300;5589
5667301;9172
5667500;2471
5667600;953
5668000;6321
5668300;1315
5668700;7617
5669100;2319
5669300;4675
5670000;3969
5670300;344
5670400;6850
5670500;7186
5671000;4759
5671300;5119
5671600;4444
5671900;9106
5672000;3232
5672100;7984
5672200;2455
5672300;1835
5672600;4977
5673100;1678
5673200;7550
5673300;3118
5673500;7604
5673800;2369
5674200;3575
5674700;8550
5674900;4856
5675000;1610
5675500;7498
5675600;4075
5675700;7215
5675800;7846
5676200;6345
5677000;7198
5677200;8522
5677300;3519
5677301;7563
5677600;8039
5677900;4193
5678100;7693
5678700;1713
5678800;7391
5678900;5644
5679000;983
5679500;4423
5679900;4913
5680000;9096
5680100;8386
5680200;6437
5680500;9201
5680600;1338
5680700;2043
5680900;7337
5681500;4366
5682100;3938
5682200;5293
5682700;6835
5682800;4420
5683100;2224
5683300;7894
5683400;3805
5683600;5540
5683800;6840
5684100;7367
5684400;1535
5684900;4305
5685400;7286
5685600;7823
5686000;9123
5686200;1118
5686500;6502
5686600;7500
5686700;626
5687300;8045
5687400;2328
5687500;5160
5687800;1072
5688000;154
5688200;5396
5688300;4292
5688500;9128
5688900;6743
5689400;7794
5689500;806
5689700;1786
5690200;1555
5690400;6199
5690700;8827
5690800;2812
5690900;5541
5691300;6998
5692000;257
5692200;8318
5692300;7898
5692500;6453
5692900;7034
5693000;5794
5693300;8797
5693500;3881
5693900;5562
5694200;4630
5694300;8026
5694700;6567
5694800;6852
5694900;6541
5695100;400
5695300;2220
5695400;2734
5695600;7121
5695900;8625
5696100;4779
5696300;3255
5696500;952
5697000;8154
5697200;1189
5697400;3446
5698100;6075
5698200;894
5698300;6282
5698700;6757
5699000;2815
5699400;3231
5699500;7411
5700300;7350
5700400;2595
5700500;694
5700700;7971
5701100;3531
5701400;8049
5702100;8530
5702200;3402
5702600;492
5702800;4812
5702900;8541
5703300;6349
5703400;5130
5703500;2854
5703600;7567
5704000;5199
5704100;8368
5704200;222
5704600;5108
5704700;3233
5705000;5244
5705100;1063
5705500;2486
5705800;8290
5706400;1221
5706500;7486
5706800;4939
5706900;5639
5707100;1307
5707200;5756
5707600;7535
5707700;7188
5707800;7560
5707900;766
5708300;4213
5708500;4752
5708600;535
5708700;5439
5708900;4509
5709300;323
5709400;810
5710700;3284
5710800;9188
5711100;7315
5711200;2496
5711500;525
5711700;4145
5711800;3973
5711900;89
5712000;163
5713400;9097
5713500;1725
5713800;866
5713900;2306
5714200;4419
5714300;7671
5714700;807
5714900;8123
5715100;7117
5715600;6960
5715900;836
5716400;5328
5716500;6684
5717000;6838
5717300;8100
5717600;8334
5717700;667
5717800;522
5717900;1674
5718100;2591
5718500;622
5718900;4451
5719200;6294
5719300;5139
5719700;2391
5719800;1477
5719900;5942
5720300;7044
5720400;8743
5720700;6527
5721000;2799
5721100;6869
5721300;1984
5721400;8732
5721500;6788
5721600;9266
5721900;1326
5722000;6643
5722400;5552
5722600;8303
5722800;3665
5722900;8748
5723000;1708
5723100;6004
5723101;5166
5723400;2661
5723700;2599
5723800;1767
5724400;5487
5724600;2009
5724700;7406
5724900;4838
5725100;5037
5725200;8397
5725400;7836
5725600;2954
5725700;2056
5726000;3449
5726100;3675
5726200;4960
5726800;3686
5727100;8665
5727200;7373
5727700;1926
5727900;2539
5728200;8300
5728600;3080
5728700;8638
5728800;5936
5728900;4405
5729200;3983
5729300;2690
5729500;4189
5729600;1657
5729800;7493
5730000;6291
5730700;1843
5731300;474
5732000;7797
5732100;5466
5733500;7076
5733900;1228
5734100;246
5734200;5084
5734300;1238
5734700;5524
5735300;710
5735400;2443
5735600;9202
5735800;8512
5736100;3088
5736500;2240
5736800;8424
5737000;5468
5737200;7784
5737500;4048
5737700;1269
5737800;6042
5737900;5412
5738000;9051
5739000;638
5739100;8999
5739700;2027
5740100;1174
5740300;7776
5740400;986
5741000;879
5741400;6253
5741900;1049
5742100;517
5742300;117
5742700;6392
5743100;7524
5743200;8344
5743300;1380
5743400;8826
5743600;4395
5743700;2990
5743900;1901
5744100;3679
5744200;2546
5744500;4654
5744700;3010
5745100;3305
5745200;3527
5745800;3750
5745900;4525
5746200;1884
5746400;3653
5746600;5350
5746800;199
5747300;991
5748100;2666
5748300;8299
5748600;6582
5748700;6454
5748900;1585
5749200;1382
5749500;5519
5750000;3647
5750300;6816
5750700;2755
5751800;3542
5752200;2774
5752300;5755
5752500;1570
5752600;7994
5752700;3307
5752800;6813
5753000;5834
5753300;6334
5753400;8567
5753600;21
5753700;5123
5754200;5165
5754300;4831
5754400;8186
5754600;1569
5755400;4777
5755500;3125
5755800;1656
5755900;2638
5756000;142
5756100;3143
5756800;7004
5756900;3742
5757200;6615
5757400;5530
5757500;1520
5758200;9086
5758300;6531
5758400;1825
5758500;7284
5758600;8923
5758700;816
5758900;1531
5759200;4821
5759300;2229
5759700;8223
5759800;4700
5760100;6188
5760400;2915
5760600;6234
5760700;6434
5761100;9258
5761400;6713
5761600;1278
5762000;1105
5762300;9003
5762500;9145
5762600;9131
5762800;2346
5763000;399
5763300;7696
5763500;6617
5763600;3925
5763800;7938
5763900;8475
5764200;8142
5764500;4744
5765000;4680
5765400;3310
5765600;6310
5765900;4710
5766000;5494
5766100;9221
5766500;5956
5766600;6683
5766900;8581
5767100;4536
5767400;6405
5767500;5111
5767900;1556
5768300;4720
5768500;5284
5768600;8442
5768700;8287
5768900;1480
5769000;7156
