jahr;HID;hgew;D002000;D003000;D004010;D004020;hsize;bundesld;db100;region;oecdregtyp;urtyp;modus
2019;4579100;302,15218;11;11;3;1;3;3;3;4;2;310;2
2019;4579300;326,38556;11;11;2;0;2;6;3;4;3;430;1
2019;4579400;1080,18411;11;11;1;0;1;9;1;1;1;101;2
2019;4579500;374,31056;11;11;1;0;1;9;1;1;1;101;2
2019;4579700;776,54673;11;11;3;1;3;3;3;4;3;410;1
2019;4579800; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;4580000;497,76049;11;11;2;0;2;8;2;3;1;101;1
2019;4580300;531,25958;11;11;1;0;1;3;2;4;2;210;2
2019;4580400;634,69054;11;11;1;0;1;9;1;1;1;101;2
2019;4580500;2076,13844;11;11;4;0;4;7;2;4;2;101;2
2019;4580700;702,6298;11;11;3;0;3;4;3;4;3;310;1
2019;4580701; ;11;22;-3;-3; ;4;1;2;-1;-1; 
2019;4581200;509,53967;11;11;2;0;2;3;3;4;3;430;1
2019;4581600; ;11;22;-3;-3; ;2;3;4;-1;-1; 
2019;4582400;762,46373;11;11;2;0;2;9;1;1;1;101;2
2019;4582500;537,33937;11;11;2;0;2;6;3;4;3;310;2
2019;4582600;669,55201;11;11;3;1;3;3;3;4;3;430;2
2019;4582900; ;11;22;-3;-3; ;2;3;4;-1;-1; 
2019;4583100;553,31913;11;11;2;0;2;7;2;4;2;101;1
2019;4583200;515,59018;11;11;4;1;4;6;3;4;3;430;1
2019;4583300;498,81783;11;11;2;0;2;6;1;2;2;101;2
2019;4583800;881,01757;11;11;1;0;1;3;2;4;3;210;2
2019;4584100;720,27192;11;11;1;0;1;9;1;1;1;101;2
2019;4584200;1100,16278;11;11;1;0;1;5;2;3;3;220;2
2019;4584300;480,87082;11;11;3;0;3;1;3;4;3;430;1
2019;4584400;1498,97558;11;11;2;0;2;5;1;2;2;101;2
2019;4584600;493,9597;11;11;3;1;3;9;1;1;1;101;2
2019;4584900;2590,5977;11;11;4;0;4;9;1;1;1;101;2
2019;4585100;551,00612;11;11;1;0;1;6;3;4;3;220;2
2019;4585300;426,46755;11;11;4;2;4;4;2;4;3;410;2
2019;4585600;727,96182;11;11;1;0;1;7;2;4;2;101;2
2019;4585700;580,74369;11;11;4;2;4;2;3;4;2;410;2
2019;4585800;900,88833;11;11;1;0;1;3;2;4;3;220;1
2019;4586000;1049,46591;11;11;1;0;1;7;1;2;2;101;2
2019;4586800;328,88639;11;11;4;2;4;3;2;4;3;410;2
2019;4587000;589,60246;11;11;2;0;2;9;1;1;1;101;1
2019;4587300; ;11;22;-3;-3; ;2;3;4;-1;-1; 
2019;4588200;424,6322;11;11;4;2;4;3;3;4;3;310;1
2019;4588300;558,83545;11;11;1;0;1;9;1;1;1;101;2
2019;4588800;511,09562;11;11;4;2;4;6;3;4;2;310;2
2019;4589100;502,0557;11;11;3;1;3;4;2;3;3;102;2
2019;4589200;1857,09164;11;11;1;0;1;2;1;2;2;101;2
2019;4589300;495,08892;11;11;1;0;1;7;3;4;3;410;1
2019;4589400;522,09769;11;11;4;2;4;3;3;4;3;430;2
2019;4590100;474,23967;11;11;1;0;1;9;1;1;1;101;2
2019;4590300;1224,8244;11;11;2;0;2;9;1;1;1;101;2
2019;4590500;696,46746;11;11;1;0;1;4;1;2;2;101;1
2019;4590600; ;11;22;-3;-3; ;4;1;2;-1;-1; 
2019;4590800;1104,76561;11;11;2;0;2;4;3;4;3;220;1
2019;4591000;317,89548;11;11;2;0;2;3;2;4;3;220;2
2019;4591100; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;4591200;483,57034;11;11;1;0;1;9;1;1;1;101;1
2019;4591500;703,58435;11;11;1;0;1;4;1;2;2;101;2
2019;4591800; ;11;21;-3;-3; ;6;3;4;-1;-1; 
2019;4591900;641,97863;11;11;4;1;4;3;3;4;3;420;2
2019;4591901;889,86556;11;11;1;0;1;6;3;4;3;420;2
2019;4592000;568,35075;11;11;1;0;1;9;1;1;1;101;1
2019;4592400;908,55902;11;11;1;0;1;5;2;3;2;101;2
2019;4592401;909,02954;11;11;1;0;1;5;1;2;2;101;2
2019;4592900;496,38658;11;11;2;0;2;6;3;4;3;420;1
2019;4593300;636,30906;11;11;3;1;3;9;1;1;1;101;2
2019;4593800;524,74512;11;11;1;0;1;9;1;1;1;101;2
2019;4594300;763,20698;11;11;4;2;4;9;1;1;1;101;2
2019;4594400;1244,21908;11;11;1;0;1;5;3;4;3;420;1
2019;4594500;519,41866;11;11;1;0;1;9;1;1;1;101;2
2019;4594600;689,28355;11;11;2;0;2;4;3;4;3;310;1
2019;4594900;811,74284;11;11;3;1;3;4;1;2;2;101;2
2019;4595400;318,10353;11;11;2;0;2;3;3;4;3;420;1
2019;4595700;877,90222;11;11;2;0;2;6;2;4;2;101;2
2019;4595900;509,16685;11;11;2;0;2;3;3;4;3;310;1
2019;4596000;1355,49492;11;11;1;0;1;2;3;4;3;430;1
2019;4596300;329,32444;11;11;2;0;2;2;3;4;2;310;2
2019;4596400;1816,1544;11;11;5;0;5;3;2;3;2;102;1
2019;4596500;920,88444;11;11;1;0;1;9;1;1;1;101;2
2019;4596600;313,85764;11;11;2;0;2;4;3;4;2;101;2
2019;4596800;673,42612;11;11;2;0;2;9;1;1;1;101;2
2019;4597100;656,94958;11;11;2;0;2;4;1;2;2;101;1
2019;4597200;722,52484;11;11;2;0;2;3;3;4;3;410;1
2019;4597300;671,57491;11;11;1;0;1;9;1;1;1;101;2
2019;4597400; ;11;21;-3;-3; ;4;3;4;-1;-1; 
2019;4598000;495,24804;11;11;4;2;4;4;3;4;3;310;1
2019;4598100;494,5752;11;11;3;1;3;5;3;4;2;310;2
2019;4598200;738,11555;11;11;2;0;2;6;1;2;2;101;2
2019;4598500;640,83165;11;11;2;0;2;6;3;4;3;420;1
2019;4599000; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;4599300;755,0587;11;11;1;0;1;6;2;3;2;310;1
2019;4599600;823,8722;11;11;2;0;2;9;1;1;1;101;2
2019;4599800;436,89389;11;11;5;2;5;2;3;4;2;310;1
2019;4600200;313,78116;11;11;2;1;2;8;2;4;1;101;2
2019;4600300;610,64503;11;11;1;0;1;9;1;1;1;101;1
2019;4600600;575,09561;11;11;3;0;3;4;3;4;3;310;1
2019;4600800;361,15695;11;11;4;2;4;6;3;4;2;310;2
2019;4601200;798,06173;11;11;1;0;1;4;3;4;3;410;1
2019;4601900;534,84572;11;11;1;0;1;4;2;4;2;101;2
2019;4602000;589,02147;11;11;2;0;2;4;2;4;3;210;1
2019;4602100; ;11;22;-3;-3; ;7;2;3;-1;-1; 
2019;4602800;612,16865;11;11;2;0;2;7;1;2;2;101;1
2019;4602900;528,37858;11;11;4;2;4;2;3;4;2;310;2
2019;4603000;627,02769;11;11;2;0;2;9;1;1;1;101;2
2019;4603100;746,11113;11;11;1;0;1;6;3;4;2;310;1
2019;4603200;696,66815;11;11;2;0;2;4;3;4;3;410;2
2019;4603300;689,07726;11;11;1;0;1;3;3;4;3;320;2
2019;4603400;523,61635;11;11;4;2;4;4;1;2;2;101;1
2019;4603700;760,3261;11;11;2;0;2;4;2;4;3;102;2
2019;4603900;1011,90677;11;11;3;0;3;4;2;3;2;102;2
2019;4604100;835,45674;11;11;1;0;1;9;1;1;1;101;2
2019;4604200;550,40591;11;11;2;0;2;1;3;4;3;420;1
2019;4604400;1390,96626;11;11;1;0;1;9;1;1;1;101;2
2019;4604500;623,11917;11;11;2;0;2;9;1;1;1;101;2
2019;4604900;500,54041;11;11;1;0;1;4;3;4;3;410;1
2019;4605500;881,52158;11;11;1;0;1;3;2;3;3;102;2
2019;4605600;477,00584;11;11;2;0;2;9;1;1;1;101;1
2019;4605800;748,43107;11;11;3;1;3;4;1;2;2;101;1
2019;4605900;650,39518;11;11;2;0;2;9;1;1;1;101;2
2019;4606100;607,42891;11;11;2;0;2;5;3;4;3;410;2
2019;4606300; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;4606400; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;4606500;944,9899;11;11;1;0;1;5;2;4;3;220;2
2019;4606700; ;11;22;-3;-3; ;3;2;4;-1;-1; 
2019;4606800;572,10948;11;11;1;0;1;5;3;4;2;220;2
2019;4607000;1848,86333;11;11;6;3;6;5;3;4;3;220;2
2019;4607100;824,27347;11;11;5;1;5;4;3;4;3;410;2
2019;4607300;720,5338;11;11;4;0;4;3;3;4;3;420;2
2019;4607500;826,6829;11;11;3;0;3;6;2;4;2;101;2
2019;4607600;419,63144;11;11;2;0;2;3;3;4;2;310;2
2019;4608200;849,34856;11;11;4;0;4;7;3;4;3;410;1
2019;4608400;494,19937;11;11;4;2;4;3;3;4;3;410;2
2019;4608800;543,11146;11;11;2;0;2;5;3;4;3;420;2
2019;4609100;668,64284;11;11;1;0;1;4;2;3;2;102;1
2019;4609200;960,50503;11;11;1;0;1;5;2;3;2;101;1
2019;4609500; ;11;22;-3;-3; ;7;3;4;-1;-1; 
2019;4609600;1181,70781;11;11;2;0;2;2;1;2;2;101;2
2019;4609900;605,64457;11;11;4;2;4;9;1;1;1;101;2
2019;4610000;693,1659;11;11;2;0;2;4;2;4;2;210;2
2019;4610400; ;11;28;-3;-3; ;9;1;1;-1;-1; 
2019;4610401; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;4610500;470,92625;11;11;1;0;1;4;3;4;3;410;2
2019;4610600; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;4610800;1195,95142;11;11;2;0;2;9;1;1;1;101;2
2019;4611100;580,87658;11;11;3;1;3;9;1;1;1;101;2
2019;4611600;665,26387;11;11;6;2;6;8;3;4;3;410;1
2019;4611700;1640,83529;11;11;3;0;3;3;2;4;3;410;2
2019;4611701;1865,54934;11;11;1;0;1;9;1;1;1;101;1
2019;4611702;1737,92106;11;11;1;0;1;3;2;4;3;410;1
2019;4611900;802,32549;11;11;1;0;1;9;1;1;1;101;2
2019;4612000;435,16761;11;11;1;0;1;9;1;1;1;101;1
2019;4612100;930,74095;11;11;1;0;1;3;2;3;2;101;2
2019;4612400; ;11;22;-3;-3; ;4;3;4;-1;-1; 
2019;4612500;643,77195;11;11;1;0;1;7;2;3;3;103;1
2019;4612600;602,94275;11;11;3;1;3;3;2;3;2;101;2
2019;4613100;689,45847;11;11;1;0;1;4;2;3;2;101;1
2019;4613200;559,23228;11;11;2;0;2;6;3;4;3;410;2
2019;4613600;461,73639;11;11;2;0;2;2;3;4;2;310;2
2019;4613700;617,26446;11;11;3;1;3;4;2;4;2;102;2
2019;4613900;931,51814;11;11;1;0;1;2;3;4;3;430;2
2019;4614000;962,26523;11;11;4;1;4;1;3;4;3;410;2
2019;4614100;660,63819;11;11;5;3;5;3;2;3;3;210;2
2019;4614800;670,96584;11;11;1;0;1;3;2;3;3;102;2
2019;4614900;616,93513;11;11;2;0;2;7;3;4;3;410;1
2019;4615400;329,72799;11;11;4;2;4;6;3;4;2;310;1
2019;4616000;645,81496;11;11;1;0;1;9;1;1;1;101;1
2019;4616100;322,57854;11;11;2;0;2;6;3;4;3;310;2
2019;4616700;601,47517;11;11;2;0;2;7;3;4;3;410;1
2019;4617400;450,43616;11;11;2;0;2;4;2;4;2;310;1
2019;4617700;639,22952;11;11;2;0;2;3;3;4;3;310;1
2019;4617800;814,19789;11;11;1;0;1;6;3;4;3;410;2
2019;4617900;826,06484;11;11;2;0;2;9;1;1;1;101;2
2019;4618400;543,5388;11;11;2;0;2;3;2;4;3;410;1
2019;4618700;351,52352;11;11;2;0;2;1;3;4;3;430;2
2019;4618900;271,69195;11;11;4;2;4;6;3;4;3;310;1
2019;4619000;433,47418;11;11;2;0;2;6;3;4;3;430;2
2019;4619300;859,08714;11;11;1;0;1;4;2;3;3;103;1
2019;4619400;913,62638;11;11;1;0;1;7;2;4;3;103;2
2019;4619401; ;11;22;-3;-3; ;2;2;3;-1;-1; 
2019;4619500;472,83292;11;11;2;0;2;8;2;3;1;101;2
2019;4620300;418,07439;11;11;2;0;2;4;3;4;3;410;2
2019;4620400;1033,26123;11;11;1;0;1;6;3;4;3;310;2
2019;4620500;1032,72896;11;11;2;0;2;2;2;3;2;102;1
2019;4620900;603,87154;11;11;1;0;1;9;1;1;1;101;2
2019;4621000;398,41632;11;11;3;0;3;3;3;4;2;430;1
2019;4621100;434,16082;11;11;2;0;2;9;1;1;1;101;2
2019;4621200;408,60099;11;11;1;0;1;9;1;1;1;101;2
2019;4621201;389,26214;11;11;2;0;2;9;1;1;1;101;2
2019;4621300;1579,49785;11;11;1;0;1;6;3;4;3;430;2
2019;4621900; ;11;21;-3;-3; ;3;3;4;-1;-1; 
2019;4622200;817,21547;11;11;2;0;2;9;1;1;1;101;1
2019;4622300;713,77248;11;11;4;0;4;3;2;3;2;101;2
2019;4623700; ;11;22;-3;-3; ;7;3;4;-1;-1; 
2019;4624100;900,39874;11;11;1;0;1;6;2;4;2;410;1
2019;4624200; ;11;22;-3;-3; ;4;2;4;-1;-1; 
2019;4624500;596,20072;11;11;3;0;3;3;3;4;3;430;1
2019;4625000;807,76939;11;11;3;0;3;6;3;4;3;420;2
2019;4625100;463,25454;11;11;5;3;5;7;2;4;3;410;2
2019;4625200;3687,49833;11;11;2;0;2;9;1;1;1;101;1
2019;4625400;606,43735;11;11;7;3;7;1;2;4;3;220;1
2019;4625800;833,25452;11;11;2;0;2;2;2;3;2;102;1
2019;4626100;323,26976;11;11;2;1;2;9;1;1;1;101;2
2019;4626101;547,3512;11;11;1;0;1;9;1;1;1;101;1
2019;4626200;706,91257;11;11;2;0;2;5;2;3;3;220;2
2019;4626300;404,75069;11;11;4;1;4;6;3;4;3;430;2
2019;4626400;445,65737;11;11;1;0;1;4;2;4;2;101;2
2019;4626500;814,07278;11;11;2;0;2;9;1;1;1;101;2
2019;4626600;517,50917;11;11;5;3;5;4;3;4;3;420;1
2019;4627000;764,11734;11;11;2;0;2;9;1;1;1;101;2
2019;4627100;639,46559;11;11;4;2;4;4;2;4;3;410;1
2019;4627200; ;11;22;-3;-3; ;2;3;4;-1;-1; 
2019;4627300;540,87695;11;11;3;1;3;9;1;1;1;101;2
2019;4627500;418,08929;11;11;2;0;2;8;2;3;1;101;1
2019;4627700;468,8171;11;11;3;0;3;7;3;4;3;410;2
2019;4627701;1035,35849;11;11;1;0;1;7;3;4;3;410;2
2019;4627800; ;11;22;-3;-3; ;2;1;2;-1;-1; 
2019;4627900;693,90793;11;11;2;0;2;1;2;4;3;220;1
2019;4628100;822,86591;11;11;2;0;2;8;3;4;1;310;2
2019;4628600;639,23849;11;11;3;0;3;7;1;2;2;101;1
2019;4628800;316,42129;11;11;2;0;2;9;1;1;1;101;2
2019;4629200;758,82102;11;11;1;0;1;9;1;1;1;101;2
2019;4629300; ;11;22;-3;-3; ;6;1;2;-1;-1; 
2019;4630200;581,32522;11;11;1;0;1;9;1;1;1;101;2
2019;4630300;927,03229;11;11;1;0;1;4;3;4;3;430;2
2019;4631600;450,27945;11;11;4;2;4;3;3;4;3;410;2
2019;4631700; ;-3;-3;-3;-3; ;4;3;4;-1;-1; 
2019;4632100;1389,09015;11;11;3;0;3;8;2;3;1;101;1
2019;4632200;1057,07813;11;11;1;0;1;6;1;2;2;101;2
2019;4632300;673,49749;11;11;2;0;2;6;3;4;2;410;2
2019;4632400;842,64392;11;11;5;2;5;6;2;4;2;310;1
2019;4632800;648,8193;11;11;3;0;3;6;3;4;2;310;1
2019;4632900;662,01546;11;11;2;0;2;9;1;1;1;101;1
2019;4633000;802,66547;11;11;1;0;1;9;1;1;1;101;2
2019;4633700;699,40284;11;11;4;1;4;7;1;2;2;101;2
2019;4633900;531,3144;11;11;2;0;2;3;2;4;3;420;1
2019;4634100;545,04721;11;11;1;0;1;9;1;1;1;101;2
2019;4634200;580,77017;11;11;5;3;5;8;2;3;1;101;2
2019;4634400;939,70534;11;11;1;0;1;4;3;4;3;310;1
2019;4634600;744,57638;11;11;2;1;2;3;3;4;2;310;1
2019;4634602; ;11;22;-3;-3; ;3;3;4;-1;-1; 
2019;4634800;521,76455;11;11;2;0;2;4;3;4;2;310;2
2019;4635400;821,08918;11;11;2;1;2;7;3;4;3;410;2
2019;4635500;290,13891;11;11;2;0;2;7;2;4;3;103;2
2019;4635501;348,50881;11;11;3;1;3;7;2;4;3;103;2
2019;4635600;925,62612;11;11;1;0;1;6;2;3;2;102;1
2019;4635800;416,78742;11;11;5;3;5;6;3;4;3;420;1
2019;4636200;472,50763;11;11;4;2;4;3;2;4;3;210;1
2019;4636300;472,17149;11;11;1;0;1;9;1;1;1;101;2
2019;4636301;571,08085;11;11;1;0;1;9;1;1;1;101;2
2019;4636600;742,7541;11;11;1;0;1;9;1;1;1;101;1
2019;4637000;547,97143;11;11;2;0;2;4;2;4;3;310;2
2019;4637100;1138,70179;11;11;1;0;1;9;1;1;1;101;2
2019;4637300;773,01397;11;11;3;2;3;7;1;2;2;101;1
2019;4637500;749,01475;11;11;1;0;1;3;2;4;2;310;2
2019;4637600;540,53336;11;11;1;0;1;9;1;1;1;101;2
2019;4637700;566,67871;11;11;1;0;1;4;3;4;3;420;2
2019;4638200;1451,06242;11;11;3;1;3;9;1;1;1;101;1
2019;4638300;532,37158;11;11;1;0;1;2;3;4;3;410;2
2019;4638500;535,03462;11;11;2;0;2;5;3;4;2;310;2
2019;4639200;783,95495;11;11;1;0;1;6;3;4;3;410;1
2019;4639700;631,92783;11;11;2;0;2;9;1;1;1;101;1
2019;4639800;702,5898;11;11;2;0;2;3;3;4;3;420;2
2019;4640000;503,48251;11;11;3;1;3;6;2;3;2;102;2
2019;4640100;455,47171;11;11;1;0;1;9;1;1;1;101;1
2019;4640400;877,61888;11;11;4;0;4;9;1;1;1;101;2
2019;4641200;952,01333;11;11;2;0;2;6;3;4;3;420;1
2019;4641300;858,90524;11;11;2;0;2;6;3;4;2;410;2
2019;4641900;1209,21315;11;11;1;0;1;6;1;2;2;101;2
2019;4642400;450,32852;11;11;3;1;3;1;3;4;3;430;1
2019;4642800;264,82318;11;11;3;2;3;8;2;3;1;101;1
2019;4643100;406,37549;11;11;2;0;2;3;3;4;3;410;2
2019;4643200; ;-3;-3;-3;-3; ;3;3;4;-1;-1; 
2019;4643300;732,43993;11;11;2;0;2;9;1;1;1;101;1
2019;4643400;892,54258;11;11;3;0;3;5;3;4;3;220;2
2019;4643401; ;11;21;-3;-3; ;5;2;4;-1;-1; 
2019;4643600;356,80934;11;11;4;1;4;7;3;4;3;103;1
2019;4644400;843,16435;11;11;5;3;5;4;3;4;3;420;2
2019;4644500;756,76441;11;11;3;0;3;9;1;1;1;101;2
2019;4644600;1261,03113;11;11;2;0;2;4;2;4;3;102;1
2019;4645000;347,68019;11;11;4;2;4;3;3;4;3;430;2
2019;4645100;1586,10952;11;11;3;0;3;3;3;4;3;420;2
2019;4645300;395,39061;11;11;2;0;2;1;3;4;3;430;1
2019;4645400;358,56205;11;11;2;0;2;3;2;3;2;101;1
2019;4645500;300,71478;11;11;2;0;2;4;3;4;3;310;1
2019;4647000;854,02003;11;11;1;0;1;3;2;3;2;101;1
2019;4647200;1216,28624;11;11;6;3;6;3;3;4;3;420;2
2019;4647300;445,42487;11;11;3;1;3;9;1;1;1;101;2
2019;4647701;1536,17189;11;11;1;0;1;4;2;3;3;102;2
2019;4648000;545,7786;11;11;2;0;2;4;3;4;3;420;1
2019;4648800;983,85804;11;11;7;3;7;4;3;4;3;410;1
2019;4648900;552,14034;11;11;2;0;2;3;3;4;3;330;2
2019;4649200;480,53257;11;11;2;0;2;4;3;4;3;410;2
2019;4649300;563,59971;11;11;2;0;2;3;3;4;2;410;2
2019;4649400;690,56328;11;11;1;0;1;6;2;4;3;103;2
2019;4649500;767,95428;11;11;2;0;2;7;1;2;2;101;2
2019;4649600;751,78642;11;11;4;2;4;4;2;4;3;102;2
2019;4649700;651,58534;11;11;1;0;1;6;3;4;2;410;2
2019;4650000;1062,5688;11;11;4;0;4;4;3;4;3;410;2
2019;4650300;747,04031;11;11;2;0;2;6;3;4;3;420;1
2019;4650500;636,46768;11;11;2;0;2;9;1;1;1;101;2
2019;4650800;467,72614;11;11;2;0;2;3;3;4;3;420;1
2019;4651200;671,61994;11;11;1;0;1;3;3;4;3;420;1
2019;4651400;879,44555;11;11;1;0;1;5;2;4;2;101;2
2019;4651500;473,72868;11;11;3;1;3;4;3;4;3;420;1
2019;4651900;891,56148;11;11;1;0;1;9;1;1;1;101;2
2019;4652200;1544,59511;11;11;1;0;1;6;1;2;2;101;1
2019;4652400;680,58811;11;11;1;0;1;2;3;4;3;430;1
2019;4652800;640,2057;11;11;2;0;2;1;2;4;3;410;2
2019;4653000;787,49139;11;11;1;0;1;5;3;4;2;310;2
2019;4653001;209,50273;11;11;3;1;3;5;3;4;2;310;2
2019;4653100;1431,62256;11;11;1;0;1;9;1;1;1;101;2
2019;4653200;346,43551;11;11;1;0;1;9;1;1;1;101;2
2019;4653400;945,87834;11;11;2;0;2;9;1;1;1;101;1
2019;4653500;1125,94437;11;11;2;0;2;3;3;4;3;410;1
2019;4653600;1063,01773;11;11;4;0;4;1;2;4;3;103;1
2019;4653700;514,37367;11;11;2;0;2;7;1;2;2;101;2
2019;4653800;474,49101;11;11;1;0;1;4;2;3;2;102;2
2019;4654100;562,47113;11;11;2;0;2;6;2;3;3;103;2
2019;4654600;493,91175;11;11;1;0;1;9;1;1;1;101;2
2019;4654800;846,77293;11;11;1;0;1;6;1;2;2;101;1
2019;4654900; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;4655200;1256,59093;11;11;2;0;2;9;1;1;1;101;1
2019;4655201; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;4655400;824,0915;11;11;1;0;1;6;2;3;3;103;2
2019;4655800;561,42106;11;11;1;0;1;7;3;4;3;420;2
2019;4656200;562,14413;11;11;2;0;2;9;1;1;1;101;2
2019;4656400;855,21177;11;11;1;0;1;3;2;3;3;103;2
2019;4656500;595,39669;11;11;1;0;1;1;3;4;3;430;2
2019;4656600;805,53893;11;11;2;0;2;7;3;4;3;410;1
2019;4656700;419,63167;11;11;3;1;3;6;1;2;2;101;1
2019;4656900; ;11;22;-3;-3; ;8;3;4;-1;-1; 
2019;4657100;760,65663;11;11;4;1;4;1;3;4;3;210;2
2019;4657400; ;-3;-3;-3;-3; ;2;2;3;-1;-1; 
2019;4658000;466,76104;11;11;1;0;1;3;3;4;3;101;1
2019;4658200;430,02856;11;11;4;2;4;4;2;4;3;210;2
2019;4658400;878,36351;11;11;3;1;3;3;3;4;3;310;2
2019;4658900;491,90997;11;11;4;2;4;9;1;1;1;101;1
2019;4659100;719,43156;11;11;2;0;2;6;2;3;3;220;1
2019;4659200;895,34083;11;11;2;0;2;2;2;3;3;103;1
2019;4659300;794,38452;11;11;2;0;2;4;3;4;3;410;2
2019;4659400;1600,2583;11;11;2;0;2;9;1;1;1;101;1
2019;4659500;725,59968;11;11;1;0;1;6;1;2;2;101;2
2019;4659600;1331,79649;11;11;3;0;3;2;3;4;3;410;2
2019;4659700;359,71708;11;11;4;2;4;6;2;4;3;103;2
2019;4659800;614,32225;11;11;2;0;2;7;3;4;3;410;1
2019;4660000;749,671;11;11;1;0;1;4;3;4;3;410;1
2019;4660200; ;21;-3;-3;-3; ;4;1;2;-1;-1; 
2019;4660400;265,57404;11;11;2;0;2;1;3;4;3;310;2
2019;4660500;790,99944;11;11;1;0;1;3;2;4;2;310;2
2019;4660600;1024,98836;11;11;1;0;1;7;3;4;3;410;1
2019;4660601; ;11;22;-3;-3; ;7;3;4;-1;-1; 
2019;4660900; ;-3;-3;-3;-3; ;9;1;1;-1;-1; 
2019;4661100;1113,64801;11;11;6;1;6;4;2;4;3;310;1
2019;4661600;512,06451;11;11;1;0;1;9;1;1;1;101;2
2019;4661900;974,77214;11;11;3;0;3;4;3;4;3;430;1
2019;4662000;781,7853;11;11;4;2;4;5;2;4;2;310;1
2019;4662300; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;4662700;1176,8285;11;11;2;0;2;1;3;4;3;430;2
2019;4662900;503,7171;11;11;2;0;2;4;2;4;3;102;2
2019;4663300;1623,77917;11;11;5;0;5;4;3;4;3;410;2
2019;4663400;323,92509;11;11;4;2;4;7;3;4;3;410;2
2019;4663900;460,84782;11;11;1;0;1;3;2;3;2;101;2
2019;4663901; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;4663902;700,18892;11;11;1;0;1;3;2;4;2;101;2
2019;4664100; ;11;21;-3;-3; ;4;1;2;-1;-1; 
2019;4664400;562,15669;11;11;2;0;2;4;3;4;3;420;2
2019;4664600;890,19632;11;11;2;0;2;8;2;3;1;101;2
2019;4664800;792,75827;11;11;2;0;2;9;1;1;1;101;2
2019;4665000;408,6266;11;11;3;1;3;3;3;4;3;330;2
2019;4665300;838,27153;11;11;1;0;1;4;2;3;3;103;2
2019;4665600;585,36276;11;11;1;0;1;9;1;1;1;101;1
2019;4665700;818,35057;11;11;1;0;1;6;2;4;3;103;1
2019;4665900;820,62615;11;11;1;0;1;6;1;2;2;101;2
2019;4666700;1842,91192;11;11;2;0;2;7;3;4;2;310;1
2019;4666900;674,43686;11;11;5;2;5;4;3;4;3;410;1
2019;4667000;980,07074;11;11;1;0;1;5;3;4;3;220;2
2019;4667100;809,79127;11;11;3;1;3;3;2;4;2;102;2
2019;4667200;810,76495;11;11;1;0;1;6;3;4;3;410;1
2019;4667500;651,79759;11;11;2;0;2;3;3;4;3;420;1
2019;4667800;847,33843;11;11;2;0;2;5;1;2;2;101;1
2019;4668000;495,22752;11;11;3;1;3;3;3;4;3;320;1
2019;4668300;651,26844;11;11;1;0;1;3;3;4;3;330;2
2019;4669100;786,25672;11;11;1;0;1;9;1;1;1;101;2
2019;4669400;638,51942;11;11;1;0;1;7;3;4;3;410;1
2019;4669500;530,59757;11;11;1;0;1;2;3;4;2;410;1
2019;4669800;381,73721;11;11;2;0;2;4;3;4;3;420;1
2019;4670000;571,1436;11;11;2;0;2;4;2;3;2;102;1
2019;4670100;464,84895;11;11;1;0;1;9;1;1;1;101;2
2019;4670200;781,28114;11;11;2;0;2;2;3;4;3;210;1
2019;4670900;584,9124;11;11;2;0;2;3;3;4;3;330;2
2019;4671000;716,09597;11;11;2;0;2;1;3;4;3;430;2
2019;4671100; ;11;22;-3;-3; ;3;2;4;-1;-1; 
2019;4671500;673,2958;11;11;2;0;2;9;1;1;1;101;1
2019;4671600;713,72336;11;11;2;0;2;2;3;4;3;430;1
2019;4672000;672,9341;11;11;4;2;4;9;1;1;1;101;2
2019;4672100;1118,50329;11;11;2;1;2;9;1;1;1;101;2
2019;4672200;1631,89581;11;11;3;0;3;5;3;4;3;220;2
2019;4672300;427,5702;11;11;4;1;4;3;2;3;2;101;2
2019;4672500;1187,63792;11;11;1;0;1;9;1;1;1;101;2
2019;4672600;331,30866;11;11;4;2;4;7;3;4;3;103;2
2019;4672700;473,24805;11;11;5;2;5;4;3;4;2;310;2
2019;4672800;1185,45209;11;11;4;0;4;4;3;4;3;430;2
2019;4672900;1929,28897;11;11;1;0;1;6;1;2;2;101;1
2019;4673100; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;4673200;688,17085;11;11;2;0;2;9;1;1;1;101;2
2019;4673501;463,7315;11;11;1;0;1;8;2;3;1;101;2
2019;4673900;326,37581;11;11;2;0;2;3;2;3;3;101;1
2019;4674400;495,46643;11;11;2;0;2;3;3;4;3;310;2
2019;4674500;368,83766;11;11;2;0;2;6;3;4;2;310;1
2019;4675300;1380,37768;11;11;2;0;2;9;1;1;1;101;2
2019;4675400;1717,26353;11;11;4;2;4;3;2;4;2;101;1
2019;4675600;196,97801;11;11;2;1;2;9;1;1;1;101;2
