jahr;HID;hgew;D002000;D003000;D004010;D004020;hsize;bundesld;db100;region;oecdregtyp;urtyp;modus
2019;5822100; ;11;22;-3;-3; ;7;2;4;-1;-1; 
2019;5822200;329,95144;11;11;4;2;4;3;3;4;3;420;1
2019;5822300;420,19202;11;11;2;0;2;3;2;4;3;310;1
2019;5822400; ;11;21;-3;-3; ;6;3;4;-1;-1; 
2019;5822500; ;11;27;-3;-3; ;6;1;2;-1;-1; 
2019;5822600; ;11;22;-3;-3; ;6;3;4;-1;-1; 
2019;5822700;455,98358;11;11;4;2;4;4;3;4;3;410;1
2019;5822800; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5822900;479,88177;11;11;3;0;3;3;3;4;3;310;1
2019;5823000; ;11;22;-3;-3; ;1;3;4;-1;-1; 
2019;5823100;361,7114;11;11;2;0;2;8;2;4;1;101;1
2019;5823200;1062,23938;11;11;2;0;2;9;1;1;1;101;1
2019;5823300; ;11;22;-3;-3; ;4;3;4;-1;-1; 
2019;5823400; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5823500; ;11;22;-3;-3; ;3;3;4;-1;-1; 
2019;5823600; ;11;22;-3;-3; ;5;1;2;-1;-1; 
2019;5823700; ;11;22;-3;-3; ;6;2;3;-1;-1; 
2019;5823800;612,23686;11;11;4;0;4;6;3;4;3;410;1
2019;5823900; ;11;27;-3;-3; ;9;1;1;-1;-1; 
2019;5824000; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5824100;997,7136;11;11;5;3;5;3;2;3;3;103;1
2019;5824200;386,32271;11;11;2;0;2;4;3;4;3;430;1
2019;5824300;630,20085;11;11;1;0;1;3;3;4;3;310;1
2019;5824400;380,45954;11;11;1;0;1;3;2;3;2;103;1
2019;5824500;432,59869;11;11;2;0;2;7;3;4;3;410;1
2019;5824600;417,98422;11;11;1;0;1;4;2;4;3;430;1
2019;5824700;543,42595;11;11;2;0;2;4;3;4;3;410;1
2019;5824800;429,49762;11;11;2;0;2;9;1;1;1;101;1
2019;5824900; ;11;22;-3;-3; ;8;2;4;-1;-1; 
2019;5825000; ;11;22;-3;-3; ;1;3;4;-1;-1; 
2019;5825100;268,2741;11;11;3;1;3;7;3;4;3;410;1
2019;5825200; ;11;21;-3;-3; ;2;3;4;-1;-1; 
2019;5825300;886,29652;11;11;3;0;3;8;3;4;3;410;1
2019;5825400;359,3548;11;11;2;0;2;3;3;4;3;310;1
2019;5825500; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5825600; ;11;22;-3;-3; ;4;3;4;-1;-1; 
2019;5825700;400,97272;11;11;2;0;2;8;2;3;1;101;1
2019;5825800;332,82513;11;11;1;0;1;9;1;1;1;101;1
2019;5825900; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5826000; ;11;22;-3;-3; ;3;3;4;-1;-1; 
2019;5826100; ;11;22;-3;-3; ;3;3;4;-1;-1; 
2019;5826200; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5826300; ;11;21;-3;-3; ;1;3;4;-1;-1; 
2019;5826400; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5826500;412,3862;11;11;1;0;1;3;3;4;3;420;1
2019;5826600;291,88672;11;11;1;0;1;6;1;2;2;101;1
2019;5826700;449,0319;11;11;4;2;4;3;3;4;3;320;1
2019;5826800; ;11;28;-3;-3; ;2;3;4;-1;-1; 
2019;5826900;506,9194;11;11;2;0;2;7;2;4;3;103;1
2019;5827000; ;11;22;-3;-3; ;5;2;4;-1;-1; 
2019;5827100; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5827200; ;11;21;-3;-3; ;5;2;4;-1;-1; 
2019;5827300;1289,94043;11;11;4;0;4;3;3;4;3;310;1
2019;5827400;639,73532;11;11;2;0;2;3;2;3;3;210;1
2019;5827500; ;11;21;-3;-3; ;5;2;4;-1;-1; 
2019;5827600; ;11;28;-3;-3; ;3;3;4;-1;-1; 
2019;5827700; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5827800; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5827900;316,59411;11;11;1;0;1;6;2;3;2;102;1
2019;5828000; ;11;22;-3;-3; ;4;3;4;-1;-1; 
2019;5828100; ;11;22;-3;-3; ;6;3;4;-1;-1; 
2019;5828200;291,53106;11;11;3;1;3;6;3;4;3;420;1
2019;5828300; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5828400; ;11;21;-3;-3; ;6;1;2;-1;-1; 
2019;5828500; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5828600;671,64151;11;11;2;0;2;4;3;4;3;410;1
2019;5828700;477,62741;11;11;3;0;3;4;3;4;3;310;1
2019;5828800;302,5538;11;11;1;0;1;9;1;1;1;101;1
2019;5828900; ;21;-3;-3;-3; ;9;1;1;-1;-1; 
2019;5829000; ;-3;-3;-3;-3; ;3;2;4;-1;-1; 
2019;5829100; ;11;22;-3;-3; ;6;1;2;-1;-1; 
2019;5829200;1002,28883;11;11;3;0;3;8;2;3;1;101;1
2019;5829300;387,56919;11;11;3;1;3;6;3;4;3;430;1
2019;5829400;188,17064;11;11;2;1;2;8;2;4;1;101;1
2019;5829500; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5829600; ;11;22;-3;-3; ;4;3;4;-1;-1; 
2019;5829700;542,77387;11;11;3;0;3;5;3;4;3;410;1
2019;5829800;409,58797;11;11;3;0;3;6;3;4;3;410;1
2019;5829900;306,89211;11;11;4;1;4;6;3;4;2;310;1
2019;5830000; ;11;22;-3;-3; ;8;2;4;-1;-1; 
2019;5830100;394,52461;11;11;1;0;1;4;3;4;3;410;1
2019;5830200; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5830300;407,09481;11;11;2;0;2;5;3;4;2;430;1
2019;5830400;1219,737;11;11;5;1;5;3;2;4;3;410;1
2019;5830500;443,07587;11;11;3;1;3;3;2;3;2;102;1
2019;5830600; ;11;21;-3;-3; ;5;1;2;-1;-1; 
2019;5830700;322,70693;11;11;1;0;1;3;2;3;3;103;1
2019;5830800; ;11;22;-3;-3; ;6;3;4;-1;-1; 
2019;5830900; ;26;-3;-3;-3; ;8;3;4;-1;-1; 
