"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","FONPURCH","INTAWAY","INTAWAY_","INTAWYX","INTAWYX_","FONCARDX","FONC_RDX","PRPYCELL","PRPY_ELL","PRPYCLX","PRPYCLX_"
"20191","03893264","16","0","1","","2","D","","A","","A","","A","","A"
"20191","03893284","55","0","1","","2","D","","A","","A","","A","","A"
"20191","03893314","28","0","1","","2","D","","A","","A","","A","","A"
"20191","03893334","49","0","1","","2","D","","A","","A","","A","","A"
"20191","03893344","4","0","1","","2","D","","A","","A","","A","","A"
"20191","03893364","31","0","1","","2","D","","A","","A","","A","","A"
"20191","03893384","18","0","1","","2","D","","A","","A","","A","","A"
"20191","03893394","29","0","1","","2","D","","A","","A","","A","","A"
"20191","03893424","32","0","1","","2","D","","A","","A","","A","","A"
"20191","03893434","7","0","1","","2","D","","A","","A","","A","","A"
"20191","03893454","3","0","1","","2","D","","A","","A","","A","","A"
"20191","03893474","31","0","1","","2","D","","A","","A","","A","","A"
"20191","03893484","22","0","1","","2","D","","A","25","D","","A","","A"
"20191","03893504","34","0","1","","2","D","","A","","A","","A","","A"
"20191","03893524","9","0","1","","2","D","","A","","A","","A","","A"
"20191","03893554","16","0","1","","2","D","","A","","A","","A","","A"
"20191","03893564","23","0","1","","2","D","","A","","A","","A","","A"
"20191","03893574","37","0","1","","2","D","","A","","A","","A","","A"
"20191","03893594","38","0","1","","2","D","","A","","A","","A","","A"
"20191","03893604","32","0","1","","2","D","","A","","A","","A","","A"
"20191","03893624","25","0","1","","2","D","","A","","A","","A","","A"
"20191","03893644","43","0","1","","2","D","","A","","A","","A","","A"
"20191","03893654","61","0","1","","2","D","","A","","A","","A","","A"
"20191","03893674","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03893684","65","0","1","","2","D","","A","","A","","A","","A"
"20191","03893704","13","0","1","","2","D","","A","","A","","A","","A"
"20191","03893754","14","0","1","","2","D","","A","","A","","A","","A"
"20191","03893814","7","0","1","","2","D","","A","","A","","A","","A"
"20191","03893824","47","0","1","","2","D","","A","","A","","A","","A"
"20191","03893854","37","0","1","","2","D","","A","","A","","A","","A"
"20191","03893874","27","0","1","","2","D","","A","","A","","A","","A"
"20191","03893884","8","0","1","","2","D","","A","","A","","A","","A"
"20191","03893894","47","0","1","","2","D","","A","","A","","A","","A"
"20191","03893904","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03893944","58","0","1","","2","D","","A","","A","","A","","A"
"20191","03893954","20","0","1","","2","D","","A","","A","","A","","A"
"20191","03893974","18","0","1","","2","D","","A","","A","","A","","A"
"20191","03893984","28","0","1","","2","D","","A","","A","","A","","A"
"20191","03894014","43","0","1","","2","D","","A","","A","","A","","A"
"20191","03894054","12","0","1","","2","D","","A","","A","","A","","A"
"20191","03894074","18","0","1","","2","D","","A","","A","","A","","A"
"20191","03894084","42","0","1","","2","D","","A","","A","","A","","A"
"20191","03894094","28","0","1","","2","D","","A","","A","","A","","A"
"20191","03894104","37","0","1","","2","D","","A","","A","","A","","A"
"20191","03894114","38","0","1","","2","D","","A","","A","","A","","A"
"20191","03894174","14","0","1","","2","D","","A","","A","","A","","A"
"20191","03894194","7","0","1","","2","D","","A","","A","","A","","A"
"20191","03894224","32","0","1","","2","D","","A","","A","","A","","A"
"20191","03894234","18","0","1","","2","D","","A","","A","","A","","A"
"20191","03894244","39","0","1","","2","D","","A","","A","","A","","A"
"20191","03894254","20","0","1","","2","D","","A","","A","","A","","A"
"20191","03894294","23","0","1","","2","D","","A","","A","","A","","A"
"20191","03894354","32","0","1","","2","D","","A","","A","","A","","A"
"20191","03894374","42","0","1","","2","D","","A","","A","","A","","A"
"20191","03894454","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03894464","34","0","1","","2","D","","A","","A","","A","","A"
"20191","03894474","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03894484","17","0","1","","2","D","","A","","A","","A","","A"
"20191","03894514","13","0","1","","2","D","","A","","A","","A","","A"
"20191","03894534","20","0","1","","2","D","","A","","A","","A","","A"
"20191","03894554","34","0","1","","2","D","","A","","A","","A","","A"
"20191","03894574","23","0","1","","2","D","","A","","A","","A","","A"
"20191","03894584","23","0","1","","2","D","","A","","A","","A","","A"
"20191","03894604","39","0","1","","2","D","","A","","A","","A","","A"
"20191","03894624","54","0","1","","2","D","","A","","A","","A","","A"
"20191","03894664","42","0","1","","2","D","","A","","A","","A","","A"
"20191","03894674","39","0","1","","2","D","","A","","A","","A","","A"
"20191","03894734","62","0","1","","2","D","","A","","A","","A","","A"
"20191","03894774","21","0","1","","2","D","","A","","A","","A","","A"
"20191","03894784","37","0","1","","2","D","","A","","A","","A","","A"
"20191","03894794","15","0","1","","2","D","","A","","A","","A","","A"
"20191","03894804","19","0","1","","2","D","","A","","A","","A","","A"
"20191","03894834","32","0","1","","2","D","","A","","A","","A","","A"
"20191","03894854","34","0","1","","2","D","","A","","A","","A","","A"
"20191","03894884","53","0","1","","2","D","","A","","A","","A","","A"
"20191","03894914","52","0","1","","2","D","","A","","A","","A","","A"
"20191","03894944","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03894974","38","0","1","","2","D","","A","","A","","A","","A"
"20191","03894994","51","0","1","","2","D","","A","","A","","A","","A"
"20191","03895024","7","0","1","","2","D","","A","","A","","A","","A"
"20191","03895034","41","0","1","","2","D","","A","","A","","A","","A"
"20191","03895054","6","0","1","","2","D","","A","","A","","A","","A"
"20191","03895094","10","0","1","","2","D","","A","","A","","A","","A"
"20191","03895104","18","0","1","","2","D","","A","","A","","A","","A"
"20191","03895114","46","0","1","","2","D","","A","","A","","A","","A"
"20191","03895194","21","0","1","","2","D","","A","","A","","A","","A"
"20191","03895224","17","0","1","","2","D","","A","","A","","A","","A"
"20191","03895244","46","0","1","","2","D","","A","","A","","A","","A"
"20191","03895254","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03895264","9","0","1","","2","D","","A","","A","","A","","A"
"20191","03895314","44","0","1","","1","D","123","D","","A","","A","","A"
"20191","03895324","42","0","1","","2","D","","A","","A","","A","","A"
"20191","03895334","48","0","1","","2","D","","A","","A","","A","","A"
"20191","03895374","14","0","1","","2","D","","A","","A","","A","","A"
"20191","03895404","38","0","1","","2","D","","A","","A","","A","","A"
