"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20191","03893894","4","0","1","150","D","10","D","20","D"
"20191","03893894","5","0","1","150","D","11","D","20","D"
"20191","03893894","6","0","1","150","D","12","D","25","D"
"20191","03893894","7","0","1","160","D","12","D","75","D"
"20191","03893894","8","0","2","160","D","10","D","30","D"
"20191","03893944","11","0","1","170","D","12","D","5","D"
"20191","03893944","12","0","1","160","D","13","D","60","D"
"20191","03893984","3","0","1","110","D","13","D","220","D"
"20191","03894014","8","0","1","150","D","13","D","150","D"
"20191","03894054","2","0","1","150","D","13","D","35","D"
"20191","03894054","3","0","1","160","D","11","D","300","D"
"20191","03894074","2","0","1","160","D","13","D","100","D"
"20191","03894084","6","0","1","160","D","12","D","30","D"
"20191","03894104","5","0","1","160","D","13","D","60","D"
"20191","03894114","5","0","1","150","D","13","D","300","D"
"20191","03894114","6","0","1","160","D","13","D","30","D"
"20191","03894114","7","0","1","160","D","13","D","70","D"
"20191","03894174","3","0","1","150","D","13","D","500","D"
"20191","03894224","3","0","1","150","D","10","D","30","D"
"20191","03894224","4","0","1","160","D","10","D","20","D"
"20191","03894224","5","0","1","150","D","11","D","530","D"
"20191","03894224","6","0","1","160","D","12","D","1800","D"
"20191","03894224","7","0","1","150","D","12","D","3000","D"
"20191","03894244","9","0","1","150","D","13","D","200","D"
"20191","03894354","5","0","1","160","D","13","D","100","D"
"20191","03894374","5","0","1","160","D","12","D","90","D"
"20191","03894454","3","0","1","160","D","12","D","20","D"
"20191","03894474","5","0","1","150","D","12","D","171","D"
"20191","03894574","2","0","1","170","D","12","D","175","D"
"20191","03894574","3","0","1","110","D","13","D","312","D"
"20191","03894574","4","0","1","160","D","12","D","20","D"
"20191","03894604","3","0","1","130","D","10","D","50","D"
"20191","03894604","4","0","1","150","D","10","D","641","D"
"20191","03894604","5","0","1","150","D","10","D","641","D"
"20191","03894604","6","0","1","150","D","11","D","498","D"
"20191","03894604","7","0","1","150","D","12","D","414","D"
"20191","03894604","8","0","1","150","D","13","D","75","D"
"20191","03894604","9","0","1","150","D","13","D","75","D"
