"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","APPRPRYB","APPR_RYB","SRVCMOB","SRVCMOB_","REPAIRX","REPAIRX_","APPRPB1","APPRPB1_","APPRPB2","APPRPB2_","APPRPB3","APPRPB3_","APPRPB4","APPRPB4_","APPRPB5","APPRPB5_","APPRPB6","APPRPB6_","APPRPB7","APPRPB7_","APPRPB8","APPRPB8_","APPRPB9","EQBPURCH","APPRPB9_"
"20191","03899904","12","2","1","100","D","12","D","25","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03899904","13","0","2","200","D","10","D","15","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03899904","14","0","2","100","D","10","D","54","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03899904","15","0","2","200","D","10","D","15","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03900044","12","0","1","220","D","12","D","45","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03900084","6","0","1","200","D","10","D","120","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03900844","2","0","1","190","D","10","D","86","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03900884","22","0","1","190","D","11","D","56","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03901254","35","0","1","190","D","10","D","111","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03901254","36","0","1","190","D","12","D","105","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03901284","2","0","1","200","D","10","D","21","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03901284","3","0","1","200","D","11","D","21","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03901284","4","0","1","200","D","12","D","21","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03901284","5","0","2","200","D","10","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03901354","4","0","1","190","D","10","D","55","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03901584","21","0","1","190","D","10","D","106","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03901664","3","0","1","190","D","11","D","93","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03901734","2","0","2","200","D","10","D","360","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03901934","8","0","1","115","D","11","D","","H","110","D","100","D","","A","","A","","A","","A","","A","","A","","","A"
"20191","03901934","8","1","1","110","D","11","D","30","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03901934","8","2","1","100","D","11","D","24","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03902354","5","0","1","110","D","11","D","15","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03902514","11","0","1","190","D","01","D","115","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03902544","6","0","1","110","D","11","D","215","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03903334","5","0","1","190","D","12","D","95","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03903744","8","0","1","190","D","11","D","120","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03903744","9","0","1","190","D","01","D","120","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03903854","8","0","1","190","D","01","D","10","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03903924","18","0","1","130","D","11","D","108","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03903924","19","0","1","130","D","12","D","108","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03903924","20","0","1","130","D","01","D","108","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03904474","11","0","1","190","D","12","D","1200","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03904774","6","0","1","190","D","11","D","32","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03904774","7","0","1","190","D","12","D","32","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03904774","8","0","1","190","D","01","D","32","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03904774","9","0","2","190","D","11","D","32","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03904844","5","0","1","110","D","01","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03904914","3","0","1","110","D","12","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03904914","4","0","1","110","D","11","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03904914","5","0","1","110","D","01","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03904964","9","0","1","200","D","01","D","425","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03904964","10","0","1","110","D","01","D","245","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
