"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MAJAPPLY","MAJA_PLY","GFTC_MAJ","GFTC0MAJ","MAJ_MO","MAJ_MO_","MAJPURX","MAJPURX_","MAJRENTX","MAJR_NTX","MAJINSTX","MAJI_STX","MJAPPL1","MJAPPL1_","MJAPPL2","MJAPPL2_","MJAPPL3","MJAPPL3_","MJAPPL4","MJAPPL4_","MJAPPL5","MJAPPL5_","MJAPPL6","MJAPPL6_","MJAPPL7","MJAPPL7_","MJAPPL8","MJAPPL8_","MJAPPL9","MJAPPL9_"
"20193","04197904","1","0","1","140","D","3","D","06","D","1300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04198282","1","0","1","100","D","1","D","06","D","2800","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04198282","2","0","1","100","D","1","D","06","D","2100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04198942","1","0","1","195","D","1","D","07","D","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04199052","1","0","1","195","D","1","D","06","D","43","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04199202","1","0","1","120","D","1","D","07","D","70","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04199692","1","0","1","140","D","2","D","","A","","A","87","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04199822","1","0","1","140","D","1","D","07","D","1000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04200294","1","0","2","195","D","1","D","06","D","1600","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04200662","1","0","1","195","D","1","D","08","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04200662","2","0","1","140","D","2","D","","A","","A","330","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04200702","1","0","2","210","D","1","D","06","D","125","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04200712","1","0","1","140","D","1","D","06","D","900","D","","A","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04200712","2","0","1","140","D","1","D","06","D","90","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04201022","1","0","1","140","D","1","D","07","D","1000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04201042","1","0","2","195","D","1","D","06","D","260","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04201742","1","0","1","120","D","1","D","07","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04201772","1","0","1","100","D","1","D","07","D","2100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04202112","1","0","1","140","D","1","D","07","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04202172","1","0","1","220","D","1","D","07","D","","H","","A","","A","220","D","195","D","","A","","A","","A","","A","","A","","A","","A"
"20193","04202172","1","1","1","100","D","1","D","07","D","435","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04202172","1","2","1","120","D","1","D","07","D","116","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
