"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","EDUC_AY","EDUC_AY_","EDUCGFTC","EDUC_FTC","EDSCHL_A","EDSC_L_A","EDMONTHA","EDMO_THA","EDREIMBX","EDRE_MBX","JEDUCNET","JEDU_NET","EDUC_A1","EDUC_A1_","EDUC_A2","EDUC_A2_","EDUC_A3","EDUC_A3_","EDUC_A4","EDUC_A4_","EDUC_A5","EDUC_A5_","EDUC_A6","EDUC_A6_","EDUC_A7","EDUC_A7_","EDUC_A8","EDUC_A8_","EDUC_A9","EDUC_A9_"
"20191","03894554","2","0","1","360","D","2","D","","A","10","D","","A","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03894584","10","0","1","350","D","1","D","2","D","10","D","","A","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03894664","8","0","1","360","D","2","D","","A","13","D","","A","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03894664","9","0","2","360","D","2","D","","A","10","D","","A","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03894734","21","0","1","345","D","1","D","","A","13","D","","A","985","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03894884","12","0","1","360","D","1","D","","A","10","D","","A","158","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03894884","13","0","1","360","D","1","D","","A","12","D","","A","90","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03894914","7","0","1","100","D","1","D","","A","10","D","","A","54","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895034","9","0","1","300","D","2","D","1","D","13","D","","A","500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895334","7","0","1","200","D","1","D","","A","10","D","","A","760","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895334","8","0","1","200","D","1","D","","A","11","D","","A","760","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895334","9","0","1","200","D","1","D","","A","12","D","","A","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895334","10","0","1","300","D","1","D","2","D","13","D","","A","480","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895514","2","0","1","100","D","1","D","","A","11","D","","A","140","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895514","3","0","1","100","D","1","D","","A","12","D","","A","105","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895554","8","0","1","350","D","1","D","1","D","10","D","","A","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895554","9","0","1","350","D","1","D","1","D","12","D","","A","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895554","10","0","2","350","D","1","D","1","D","10","D","","A","410","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895804","2","0","1","300","D","1","D","1","D","12","D","","A","1500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03895954","7","0","1","300","D","1","D","2","D","13","D","","A","750","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896004","13","0","1","100","D","1","D","","A","13","D","","A","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896004","14","0","1","300","D","1","D","1","D","11","D","","A","20000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896304","18","0","1","100","D","1","D","","A","11","D","","A","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896304","19","0","1","100","D","1","D","","A","13","D","","A","105","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896584","1","0","1","200","D","1","D","","A","13","D","","A","360","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896604","5","0","1","380","D","1","D","3","D","10","D","","A","","H","380","D","350","D","","A","","A","","A","","A","","A","","A","","A"
"20191","03896604","5","1","1","350","D","1","D","3","D","10","D","","A","20","E","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896734","1","0","1","350","D","1","D","2","D","11","D","","A","55","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
