nohhold,nomem,gebjaar,geslacht,positie,oplzon,oplmet,bezighei,aantalhh,aantalki,sted,regio,prov,woonvorm,account,kostwin,partner,woning
45131,6,2012,2,5,8,8,13,6,4,2,2,28,3,0,0,1,1
45181,1,1986,1,1,5,5,1,1,0,NA,NA,NA,1,1,1,0,1
45257,1,1954,1,1,3,3,1,2,0,1,1,28,2,0,1,1,1
45257,2,1954,2,2,3,2,7,2,0,1,1,28,2,1,0,1,1
45267,1,1958,2,2,3,3,1,2,0,NA,NA,NA,2,1,0,1,2
45267,2,1955,1,1,3,3,4,2,0,NA,NA,NA,2,0,1,1,2
45281,1,1989,2,1,7,7,9,1,0,2,2,28,1,1,1,0,2
45323,1,1969,2,1,6,6,1,3,2,NA,NA,NA,4,1,1,0,1
45323,2,2001,2,5,2,2,6,3,2,NA,NA,NA,4,0,0,0,1
45323,3,2003,1,5,2,2,6,3,2,NA,NA,NA,4,0,0,0,1
45348,1,1954,2,1,5,5,1,1,0,NA,NA,NA,1,1,1,0,2
45390,1,1937,2,1,6,6,8,1,0,4,4,25,1,1,1,0,2
45395,1,1944,1,1,3,3,8,2,0,NA,NA,NA,2,1,1,1,2
45395,2,1949,2,2,3,2,8,2,0,NA,NA,NA,2,0,0,1,2
45398,1,1943,1,1,3,3,8,1,0,3,2,27,1,1,1,0,1
45403,1,1937,1,1,3,3,8,1,0,NA,NA,NA,1,1,1,0,1
45416,1,1998,1,1,7,4,6,1,0,NA,NA,NA,1,1,1,0,2
45423,1,1949,1,1,6,6,8,3,1,2,2,27,3,0,1,1,1
45423,2,1958,2,2,5,5,1,3,1,2,2,27,3,1,0,1,1
45423,4,1986,2,5,5,5,1,3,1,2,2,27,3,0,0,1,1
45460,1,1970,1,1,3,3,1,3,1,NA,NA,NA,4,1,1,0,1
45460,2,1996,1,5,4,4,1,3,1,NA,NA,NA,4,0,0,0,1
45460,3,1995,2,7,4,4,6,3,1,NA,NA,NA,4,0,0,0,1
45461,1,1974,1,1,5,3,1,3,1,NA,NA,NA,3,0,1,1,1
45461,2,1980,2,2,5,5,1,3,1,NA,NA,NA,3,1,0,1,1
45461,3,2002,2,5,5,3,6,3,1,NA,NA,NA,3,0,0,1,1
45519,1,1953,1,2,6,6,4,4,2,NA,NA,NA,3,1,0,1,2
45519,2,1958,2,1,6,6,1,4,2,NA,NA,NA,3,0,1,1,2
45519,3,1997,1,5,6,5,6,4,2,NA,NA,NA,3,0,0,1,2
45519,4,1997,1,5,5,5,1,4,2,NA,NA,NA,3,0,0,1,2
45533,1,1970,2,1,7,7,7,3,2,1,2,28,4,1,1,0,2
45533,2,2009,1,5,1,8,6,3,2,1,2,28,4,0,0,0,2
45533,3,2011,2,5,2,8,6,3,2,1,2,28,4,0,0,0,2
45582,1,1954,1,1,6,6,8,2,0,3,2,27,2,1,1,1,1
45582,2,1954,2,2,6,6,7,2,0,3,2,27,2,0,0,1,1
45587,1,1950,2,2,5,5,8,2,0,NA,NA,NA,2,0,0,1,1
45587,2,1947,1,1,6,6,8,2,0,NA,NA,NA,2,1,1,1,1
45629,1,1948,1,1,4,4,8,2,0,NA,NA,NA,2,1,1,1,1
45629,2,1958,2,2,3,3,1,2,0,NA,NA,NA,2,0,0,1,1
45680,1,1993,2,1,7,7,1,1,0,NA,NA,NA,1,1,1,0,2
45837,1,1976,1,6,6,6,3,2,0,1,1,28,5,0,0,0,2
45837,2,1962,1,1,5,3,1,2,0,1,1,28,5,1,1,0,2
45891,1,1979,2,3,5,5,1,4,2,5,3,21,3,1,0,1,1
45891,2,1979,1,1,3,3,1,4,2,5,3,21,3,0,1,1,1
45891,3,2007,2,5,3,2,6,4,2,5,3,21,3,0,0,1,1
45891,4,2009,2,5,2,8,6,4,2,5,3,21,3,0,0,1,1
45943,1,1974,1,1,6,6,1,2,0,NA,NA,NA,2,1,1,1,1
45943,2,1985,2,3,5,5,1,2,0,NA,NA,NA,2,0,0,1,1
45972,1,1954,2,1,7,7,8,2,0,NA,NA,NA,2,1,0,1,1
45972,2,1956,1,2,6,6,1,2,0,NA,NA,NA,2,0,1,1,1
45977,1,1949,1,1,3,3,8,2,0,3,3,21,2,0,1,1,1
45977,2,1950,2,2,3,3,8,2,0,3,3,21,2,1,0,1,1
46117,1,1953,1,1,3,3,8,3,1,5,3,22,3,1,1,1,1
46117,2,1953,2,2,3,3,8,3,1,5,3,22,3,0,0,1,1
46117,3,1988,1,5,3,3,1,3,1,5,3,22,3,0,0,1,1
46127,1,1980,1,1,6,5,1,5,3,5,3,21,3,1,1,1,1
46127,2,1982,2,3,5,5,1,5,3,5,3,21,3,0,0,1,1
46127,3,2007,2,5,2,8,13,5,3,5,3,21,3,0,0,1,1
46127,4,2009,2,5,8,8,13,5,3,5,3,21,3,0,0,1,1
46127,5,2012,2,5,8,8,13,5,3,5,3,21,3,0,0,1,1
46140,1,1971,1,1,6,6,1,4,2,4,4,23,3,1,1,1,1
46140,2,1978,2,2,3,3,7,4,2,4,4,23,3,0,0,1,1
46140,3,2004,1,5,3,2,6,4,2,4,4,23,3,0,0,1,1
46140,4,2002,1,5,3,2,6,4,2,4,4,23,3,0,0,1,1
46154,1,1983,1,1,6,6,1,6,4,5,4,23,3,0,1,1,1
46154,2,1983,2,2,6,6,3,6,4,5,4,23,3,1,0,1,1
46154,3,2005,1,5,4,2,6,6,4,5,4,23,3,0,0,1,1
46154,4,2007,2,5,3,2,6,6,4,5,4,23,3,0,0,1,1
46154,5,2010,1,5,2,8,6,6,4,5,4,23,3,0,0,1,1
46154,6,2018,2,5,8,8,13,6,4,5,4,23,3,0,0,1,1
46413,1,1982,2,1,5,5,1,1,0,NA,NA,NA,1,1,1,0,2
46471,1,1945,1,1,5,4,8,2,0,3,2,29,2,1,1,1,1
46471,2,1948,2,2,3,3,7,2,0,3,2,29,2,0,0,1,1
46499,1,1993,1,1,6,5,6,1,0,NA,NA,NA,1,1,1,0,3
46510,1,1984,2,2,7,5,1,4,2,4,3,20,3,1,0,1,1
46510,2,1980,1,1,5,5,1,4,2,4,3,20,3,0,1,1,1
46510,3,2013,1,5,2,8,13,4,2,4,3,20,3,0,0,1,1
46510,4,2016,1,5,8,8,13,4,2,4,3,20,3,0,0,1,1
46519,1,1943,1,1,5,5,8,2,0,3,5,31,2,1,1,1,2
46519,8,1946,2,2,3,3,7,2,0,3,5,31,2,0,0,1,2
46572,1,1960,1,2,5,5,9,2,0,NA,NA,NA,2,0,0,1,1
46572,2,1961,2,1,5,5,1,2,0,NA,NA,NA,2,1,1,1,1
46577,1,1987,1,1,6,5,1,1,0,NA,NA,NA,1,1,1,0,2
46602,1,1938,1,1,3,2,8,2,0,2,5,31,2,1,1,1,2
46602,2,1942,2,2,3,2,8,2,0,2,5,31,2,0,0,1,2
46667,1,1971,2,1,4,4,1,3,2,2,5,30,4,1,0,0,2
46667,3,1998,1,5,3,3,1,3,2,2,5,30,4,0,1,0,2
46667,8,2006,2,5,1,8,13,3,2,2,5,30,4,0,0,0,2
46744,1,1970,2,1,5,5,1,4,3,4,5,30,4,1,1,0,2
46744,2,1996,2,5,5,5,1,4,3,4,5,30,4,0,0,0,2
46744,3,1997,2,5,5,3,1,4,3,4,5,30,4,0,0,0,2
46744,4,2002,1,5,5,2,6,4,3,4,5,30,4,0,0,0,2
